Time (s),Frequency (Hz),Cents Error vs E3
2.64,400.0,0.001
2.65,400.0,0.001
2.66,400.0,0.001
2.67,400.0,0.001
2.68,400.0,0.001
2.69,400.0,0.001
2.7,400.0,0.001
2.71,400.0,0.001
2.72,400.0,0.001
2.73,400.0,0.001
2.74,400.0,0.001
2.75,400.0,0.001
2.76,400.0,0.001
2.77,400.0,0.001
2.78,400.0,0.001
2.79,400.0,0.001
2.8,400.0,0.001
2.81,400.0,0.001
2.82,400.0,0.001
2.83,400.0,0.001
2.84,400.0,0.001
2.85,400.039,0.1698
