Time (s),Frequency (Hz),Cents Error vs E3
0.0,82.791,-1191.8007
0.01,82.783,-1191.9624
0.02,82.777,-1192.0979
0.03,82.765,-1192.3431
0.04,82.757,-1192.5171
0.05,82.747,-1192.7238
0.06,82.739,-1192.8898
0.07,82.733,-1193.0251
0.08,82.726,-1193.1607
0.09,82.719,-1193.3161
0.1,82.711,-1193.4692
0.11,82.707,-1193.5585
0.12,82.701,-1193.6781
0.13,82.695,-1193.8138
0.14,82.691,-1193.897
0.15,82.686,-1194.0108
0.16,82.679,-1194.1403
0.17,82.675,-1194.2311
0.18,82.671,-1194.314
0.19,82.667,-1194.3992
0.2,82.663,-1194.4751
0.21,82.66,-1194.5421
0.22,82.656,-1194.6357
0.23,82.651,-1194.7271
0.24,82.65,-1194.7505
0.25,82.646,-1194.8337
0.26,82.642,-1194.9193
0.27,82.641,-1194.937
0.28,82.639,-1194.9839
0.29,82.636,-1195.0559
0.3,82.634,-1195.0923
0.31,82.632,-1195.1356
0.32,82.629,-1195.186
0.33,82.626,-1195.2531
0.34,82.624,-1195.2904
0.35,82.622,-1195.3324
0.36,82.619,-1195.4107
0.37,82.617,-1195.4559
0.38,82.614,-1195.5038
0.39,82.61,-1195.5924
0.4,82.607,-1195.6469
0.41,82.605,-1195.7062
0.42,82.602,-1195.756
0.43,82.599,-1195.8207
0.44,82.597,-1195.8709
0.45,82.596,-1195.8894
0.46,82.592,-1195.9691
0.47,82.59,-1196.009
0.48,82.588,-1196.0576
0.49,82.586,-1196.1007
0.5,82.585,-1196.1071
0.51,82.583,-1196.1539
0.52,82.582,-1196.1853
0.53,82.58,-1196.2121
0.54,82.579,-1196.2525
0.55,82.578,-1196.2702
0.56,82.575,-1196.3235
0.57,82.575,-1196.3313
0.58,82.572,-1196.3946
0.59,82.57,-1196.4345
0.6,82.572,-1196.3987
0.61,82.567,-1196.4892
0.62,82.566,-1196.5241
0.63,82.565,-1196.5462
0.64,82.563,-1196.5868
0.65,82.562,-1196.6032
0.66,82.56,-1196.6395
0.67,82.561,-1196.6275
0.68,82.558,-1196.6795
0.69,82.556,-1196.7244
0.7,82.558,-1196.6928
0.71,82.554,-1196.7667
0.72,82.553,-1196.7908
0.73,82.552,-1196.8062
0.74,82.551,-1196.8342
0.75,82.55,-1196.8573
0.76,82.548,-1196.8833
0.77,82.549,-1196.8792
0.78,82.548,-1196.9024
0.79,82.545,-1196.9467
0.8,82.546,-1196.9293
0.81,82.544,-1196.9872
0.82,82.543,-1197.0079
0.83,82.542,-1197.0237
0.84,82.541,-1197.0493
0.85,82.54,-1197.0715
0.86,82.538,-1197.0939
