Sampling Frequency,True Frequency,Num Periods,Frequency Calculated,Cents Error
48000,450,2,450.10382779414505,0.3993988420226554
48000,450,3,450.0081131653452,0.03121258105636707
48000,450,4,450.0022878839935,0.008801894669138192
48000,450,5,450.00813788670285,0.031307687018951195
48000,450,6,450.00287855569843,0.011074305996059535
48000,450,7,450.0008305048305,0.0031951042526966802
48000,450,8,450.00438562463813,0.016872234894229735
48000,450,9,450.0015637943405,0.006016198453334021
48000,450,10,450.00034336602505,0.0013209927266736457
48000,500,1,505.2631578947368,18.128270868250063
48000,500,2,500.04773313714327,0.16526657601565778
48000,500,3,500.021346477354,0.07390991914045217
48000,500,4,500.0124301063936,0.04303831187574893
48000,500,5,500.0,0.0
48000,500,6,500.0,0.0
48000,500,7,500.00000000000017,7.688223609155801e-13
48000,500,8,500.0,0.0
48000,500,9,500.0,0.0
48000,500,10,500.0,0.0
48000,550,1,558.1395348837209,25.43306672294791
48000,550,2,550.07775992811,0.24474749026829404
48000,550,3,549.9978451902316,-0.006782704269182788
48000,550,4,550.0046912228731,0.014766491151466703
48000,550,5,550.0107932556887,0.0339735789207989
48000,550,6,549.9982562429984,-0.005488829600059269
48000,550,7,550.000422801348,0.0013308505605885948
48000,550,8,550.0035025456693,0.011024921842611751
48000,550,9,550.007149203717,0.02250338992358936
48000,550,10,549.9995276251558,-0.001486894118908296
48000,600,1,607.5949367088608,21.776816052311425
48000,600,2,600.0802996224763,0.2316802314134431
48000,600,3,600.0349166533896,0.10074523400216798
48000,600,4,600.0195401267938,0.05637996999273961
48000,600,5,599.9999999999998,-5.766167706866853e-13
48000,600,6,600.0,0.0
48000,600,7,599.9999999999999,-3.844111804577902e-13
48000,600,8,599.9999999999999,-3.844111804577902e-13
48000,600,9,600.0,0.0
48000,600,10,600.0,0.0
48000,650,1,657.5342465753424,19.951582304890728
48000,650,2,650.0504292866589,0.13431001784399588
48000,650,3,650.0192462346394,0.05126037452596844
48000,650,4,650.041022480436,0.10925734450457687
48000,650,5,650.0213552387485,0.05687739866973667
48000,650,6,650.0018006004314,0.004795779165983886
48000,650,7,649.998319918659,-0.004474796587310561
48000,650,8,649.9966393465959,-0.008950911755042753
48000,650,9,649.9960845601863,-0.010428558674983365
48000,650,10,650.0084937319003,0.02262237199304767
48000,700,1,705.8823529411765,14.487398760689965
48000,700,2,700.0706349097637,0.1746848450218769
48000,700,3,700.0078099424677,0.019315375565138723
48000,700,4,700.0330521860282,0.08174245567897394
48000,700,5,700.0063328463523,0.015662270913343743
48000,700,6,700.0266389937808,0.06588207936519655
48000,700,7,700.0068489513341,0.016938685348352123
48000,700,8,700.0004843761202,0.001197954488032338
48000,700,9,700.0078649064582,0.019451310516966157
48000,700,10,700.000775593077,0.0019181891419762535
48000,750,1,761.9047619047619,27.26409180010014
48000,750,2,750.1505136579934,0.34739763519706535
48000,750,3,750.0624503502631,0.14414889565273847
48000,750,4,750.0,0.0
48000,750,5,750.0,0.0
48000,750,6,749.9999999999999,-1.9220559022889507e-13
48000,750,7,750.0,0.0
48000,750,8,750.0,0.0
48000,750,9,750.0,0.0
48000,750,10,750.0,0.0
48000,800,1,813.5593220338983,29.09705549601265
48000,800,2,800.1801333149223,0.3897722799943679
48000,800,3,800.0734741807859,0.15899395327254232
48000,800,4,800.0,0.0
48000,800,5,800.0,0.0
48000,800,6,800.0,0.0
48000,800,7,799.9999999999999,-1.9220559022889507e-13
48000,800,8,800.0000000000001,3.8441118045779003e-13
48000,800,9,800.0,0.0
48000,800,10,800.0,0.0
48000,850,1,872.7272727272727,45.6816490002236
48000,850,2,850.0445201056308,0.09067376982433163
48000,850,3,850.106983018192,0.21788351657896676
48000,850,4,850.0112670932511,0.02294805434309016
48000,850,5,850.0472551097523,0.09624397765515985
48000,850,6,850.0048960514548,0.00997198420326681
48000,850,7,850.0275396236727,0.05609030806095197
48000,850,8,850.0024201727233,0.004929269951135706
48000,850,9,850.017889105852,0.03643518030928323
48000,850,10,850.0012476473019,0.0025411387115894845
48000,900,1,923.0769230769231,43.83105123013665
48000,900,2,899.9688741439243,-0.059874526303366586
